Price Dates,Bhindi (Ladies finger),Tomato,Onion,Potato,Brinjal,Garlic,Peas,Methi,Green Chilli,Elephant Yam (Suran)
2023-06-08,21.0,16.0,14.0,20,30,95,60,15,50.0,25
2023-06-11,20.0,16.0,15.0,20,30,95,55,16,50.0,25
2023-06-12,25.0,16.0,13.0,20,35,95,60,15,50.0,30
2023-06-13,22.0,16.0,15.0,20,35,95,60,12,50.0,25
2023-06-14,27.5,16.0,14.0,20,35,95,60,15,40.0,25
2023-06-15,24.5,16.0,14.0,20,40,95,60,15,70.0,25
2023-06-16,24.5,16.0,13.0,21,40,95,55,15,65.0,25
2023-06-18,27.0,16.0,14.0,20,25,95,60,16,50.0,15
2023-06-19,27.0,16.0,14.0,20,40,95,70,20,60.0,25
2023-06-20,27.0,16.0,14.0,21,35,95,70,20,60.0,25
2023-06-21,27.0,16.0,14.0,21,35,95,70,16,50.0,25
2023-06-22,27.0,16.0,14.0,21,35,95,70,16,50.0,30
2023-06-23,27.0,16.0,14.0,21,35,95,80,20,60.0,25
2023-06-25,24.5,16.0,13.0,21,35,95,70,16,60.0,25
2023-06-26,22.0,16.0,13.0,21,35,95,80,18,60.0,15
2023-06-27,27.0,16.0,14.0,20,30,95,80,16,60.0,25
2023-06-28,20.0,16.0,15.0,21,35,120,70,15,70.0,25
2023-06-29,20.0,16.0,15.0,20,30,120,70,16,70.0,25
2023-06-30,20.0,16.0,15.0,20,30,120,80,20,70.0,12
2023-07-02,27.0,16.0,16.0,12,30,120,80,22,80.0,12
2023-07-03,22.0,16.0,17.0,20,30,120,80,22,70.0,25
2023-07-04,27.0,16.0,16.0,21,30,120,70,20,60.0,30
2023-07-06,22.0,16.0,17.0,20,35,120,80,25,80.0,25
2023-07-09,27.0,16.0,17.0,21,30,140,80,20,80.0,35
2023-07-12,22.5,16.0,17.0,20,35,140,100,18,70.0,25
2023-07-13,27.5,16.0,16.0,20,30,160,110,18,75.0,30
2023-07-14,20.0,16.0,16.0,20,35,160,120,18,70.0,40
2023-07-16,20.0,16.0,17.0,20,35,160,100,16,70.0,25
2023-07-17,20.0,16.0,16.0,17,30,165,80,16,70.0,40
2023-07-18,25.0,16.0,18.0,14,35,165,150,14,70.0,30
2023-07-20,25.0,16.0,17.0,20,30,165,110,20,80.0,30
2023-07-21,20.0,16.0,17.0,20,35,165,120,12,80.0,30
2023-07-23,27.0,16.0,18.0,20,35,165,120,10,80.0,35
2023-07-25,25.0,16.0,16.0,21,35,140,120,7,70.0,25
2023-07-26,27.0,16.0,16.0,21,40,140,130,8,60.0,30
2023-07-27,27.0,16.0,16.0,21,40,140,130,8,60.0,40
2023-07-28,30.0,16.0,16.0,21,35,140,120,10,60.0,30
2023-07-30,30.0,16.0,16.0,21,40,140,150,8,70.0,40
2023-07-31,30.0,16.0,16.0,21,40,160,120,7,50.0,35
2023-08-01,32.0,16.0,17.0,21,35,160,100,8,50.0,32
2023-08-02,35.0,16.0,18.0,21,35,160,100,7,50.0,40
2023-08-03,25.0,16.0,17.0,21,40,160,150,8,50.0,30
2023-08-04,27.0,16.0,16.0,21,40,160,120,7,50.0,30
2023-08-06,30.0,16.0,17.0,20,40,160,120,8,40.0,40
2023-08-07,25.0,16.0,16.0,21,40,160,130,8,40.0,40
2023-08-08,27.0,16.0,18.0,21,35,160,120,8,50.0,30
2023-08-09,27.0,16.0,19.0,20,35,160,100,8,60.0,40
2023-08-10,27.0,16.0,20.0,20,40,160,80,7,50.0,35
2023-08-11,22.5,16.0,21.0,21,30,160,80,6,40.0,30
2023-08-13,24.0,16.0,22.0,21,30,160,60,7,40.0,45
2023-08-14,20.0,16.0,21.0,21,40,160,60,7,40.0,40
2023-08-17,21.0,16.0,27.0,20,35,160,70,7,40.0,40
2023-08-18,20.0,16.0,25.0,20,25,160,70,7,40.0,40
2023-08-20,20.0,16.0,25.0,20,30,160,60,6,35.0,40
2023-08-21,25.0,16.0,25.0,20,25,160,50,8,40.0,40
2023-08-22,27.0,16.0,22.0,20,25,160,50,10,45.0,30
2023-08-23,23.5,16.0,23.0,20,30,160,55,10,50.0,35
2023-08-25,17.0,16.0,25.0,20,25,160,50,12,40.0,30
2023-08-27,21.0,16.0,25.0,20,25,150,50,10,35.0,32
2023-08-28,21.0,16.0,24.0,20,25,150,55,16,40.0,20
2023-08-29,22.0,16.0,23.0,20,25,150,50,12,35.0,35
2023-08-30,22.0,16.0,23.0,18,25,150,50,16,35.0,35
2023-08-31,20.0,16.0,23.0,18,20,150,50,12,35.0,32
2023-09-01,20.0,16.0,23.0,19,20,160,50,12,30.0,32
2023-09-03,17.0,16.0,24.0,19,20,160,50,12,40.0,25
2023-09-04,20.0,16.0,23.0,20,20,160,50,10,40.0,32
2023-09-06,20.0,16.0,21.0,19,25,160,50,16,60.0,25
2023-09-07,17.0,16.0,24.0,20,16,160,50,12,35.0,25
2023-09-08,20.0,16.0,25.0,20,16,160,50,13,30.0,30
2023-09-10,20.0,16.0,25.0,18,20,160,55,12,40.0,30
2023-09-11,22.0,16.0,23.0,15,20,160,65,15,40.0,30
2023-09-12,22.0,16.0,22.0,18,20,160,65,15,40.0,20
2023-09-13,22.0,16.0,23.0,18,25,160,60,15,35.0,25
2023-09-14,22.0,16.0,23.0,18,25,160,70,15,40.0,30
2023-09-15,20.0,16.0,23.0,18,25,160,65,16,35.0,25
2023-09-17,21.0,16.0,24.0,18,25,160,70,17,40.0,30
2023-09-18,23.0,16.0,23.0,19,30,160,90,20,45.0,30
2023-09-19,23.0,16.0,24.0,18,20,160,85,20,40.0,30
2023-09-20,21.0,16.0,22.0,18,25,160,85,25,30.0,30
2023-09-21,22.0,16.0,23.0,18,25,160,100,22,30.0,25
2023-09-22,22.0,16.0,23.0,18,25,160,90,25,35.0,30
2023-09-24,21.0,16.0,23.0,18,25,160,80,22,40.0,30
2023-09-25,23.0,16.0,23.0,18,25,170,90,20,40.0,30
2023-09-26,33.0,16.0,23.0,20,30,170,90,16,40.0,30
2023-09-27,21.0,16.0,25.0,20,35,170,90,20,40.0,25
2023-09-28,26.0,16.0,25.0,20,35,170,90,18,40.0,30
2023-10-01,27.0,16.0,25.0,20,30,170,100,25,35.0,40
2023-10-02,26.0,16.0,26.0,20,30,170,90,20,40.0,30
2023-10-03,29.5,16.0,26.0,20,50,170,100,20,35.0,30
2023-10-04,32.0,16.0,24.0,18,50,170,110,25,50.0,30
2023-10-05,37.0,16.0,24.0,20,45,170,110,22,40.0,30
2023-10-06,37.0,16.0,25.0,20,50,170,130,25,40.0,30
2023-10-09,35.0,16.0,24.0,20,45,170,140,30,40.0,30
2023-10-10,32.5,16.0,25.0,18,45,170,140,30,50.0,30
2023-10-11,30.0,16.0,26.0,20,40,170,150,25,40.0,30
2023-10-12,25.0,16.0,27.0,20,50,170,130,28,50.0,35
2023-10-13,24.5,16.0,27.0,20,40,170,120,25,50.0,25
2023-10-15,32.0,16.0,26.0,18,40,160,150,35,55.0,30
2023-10-16,32.0,16.0,27.0,20,50,160,130,35,65.0,25
2023-10-17,32.0,16.0,28.0,21,40,160,130,30,50.0,30
2023-10-18,25.0,16.0,30.0,20,50,160,130,28,50.0,35
2023-10-19,27.0,16.0,35.0,21,50,160,130,28,40.0,25
2023-10-20,24.5,16.0,40.0,20,45,160,140,30,50.0,25
2023-10-22,27.0,16.0,40.0,21,35,160,130,30,50.0,40
2023-10-23,21.0,16.0,38.0,20,30,165,120,30,45.0,30
2023-10-24,20.0,16.0,37.0,18,35,165,120,22,50.0,25
2023-10-26,24.5,16.0,38.0,20,30,165,120,30,40.0,30
2023-10-27,27.0,16.0,45.0,21,30,165,120,25,50.0,30
2023-10-30,32.0,16.0,55.0,21,30,165,120,25,40.0,25
2023-10-31,27.0,16.0,54.0,20,35,165,120,25,40.0,40
2023-11-02,37.0,16.0,54.0,18,40,165,110,23,45.0,30
2023-11-03,29.5,16.0,50.0,20,30,165,130,20,40.0,30
2023-11-06,26.0,16.0,50.0,22,25,165,120,20,32.0,30
2023-11-07,27.0,16.0,47.0,18,25,190,120,10,30.0,40
2023-11-08,24.5,16.0,38.0,18,15,190,130,15,30.0,30
2023-11-09,22.0,16.0,42.0,20,20,190,120,12,30.0,30
2023-11-10,22.5,16.0,50.0,18,15,190,100,12,35.0,30
2023-11-12,20.0,16.0,50.0,18,20,190,120,12,40.0,40
2023-11-13,22.0,16.0,47.0,20,20,190,90,12,40.0,30
2023-11-14,22.0,16.0,45.0,20,16,190,100,12,50.0,30
2023-11-16,27.5,16.0,46.0,20,25,190,120,15,40.0,40
2023-11-17,27.0,16.0,46.0,22,30,190,70,12,35.0,30
2023-11-19,32.0,16.0,45.0,22,25,190,60,10,50.0,40
2023-11-20,32.0,16.0,45.0,20,30,190,55,8,40.0,30
2023-11-21,35.0,16.0,43.0,22,30,190,50,9,40.0,30
2023-11-22,32.0,16.0,42.0,22,20,190,40,9,30.0,30
